objectid,treelatitude,treelongitude,centerlatitude,centerlongitude,dbh,species,creationdate,roadsidebydate,roadsidebycoord,isatcorrectsideofroad,truetreelongitude,truetreelatitude
96,466914.6190667607,258294.40576711617,466912.84922825,258294.421252798,13,1,11/14/2021 15:51,N/W,N/W,True,258294.38641992543,466916.8302321206
97,466916.42486196605,258287.2229618533,466912.93140791263,258287.25330249846,17,1,11/14/2021 15:51,N/W,N/W,True,258287.20319336973,466918.701026123
98,466919.31043966574,258248.67408438097,466914.9112225959,258248.0229969485,22,1,11/14/2021 15:52,N/W,N/W,True,258249.01923648507,466921.6425366352
99,467355.9973493632,258734.7105992207,467356.47897914634,258734.67867657283,12,1,11/20/2021 11:01,S/E,S/E,True,258734.8557663326,467353.80715496326
100,467351.7029100542,258732.87093572132,467356.1778444501,258732.57172842414,10,1,11/20/2021 11:02,S/E,S/E,True,258733.01520471348,467349.5452278005
101,467353.2253600174,258722.54401624345,467354.7303008191,258722.44361388357,15,1,11/20/2021 11:04,S/E,S/E,True,258722.69337634873,467350.9865867771
102,467351.38117607293,258717.80799363233,467354.04236101836,258717.63021188971,12,1,11/20/2021 11:05,S/E,S/E,True,258717.9543055355,467349.1910578508
103,467349.79811283125,258712.08474181514,467352.65033457003,258711.7886203351,13,1,11/20/2021 11:07,S/E,S/E,True,258712.3130893851,467347.5986847352
104,467349.2736379331,258705.15441304966,467351.00595066336,258704.97472320267,12,1,11/20/2021 11:08,S/E,S/E,True,258705.38088156754,467347.0903521042
105,467347.21598973195,258699.56974582802,467349.4561246736,258699.18823381807,12,1,11/20/2021 11:09,S/E,S/E,True,258699.93826482762,467345.05214621936
106,467343.6595546024,258694.37738697312,467347.1888804309,258693.7760636984,12,1,11/20/2021 11:10,S/E,S/E,True,258694.74605627006,467341.495736692
107,467341.2133391084,258688.4157461364,467344.62020642374,258687.69238086493,12,1,11/20/2021 11:12,S/E,S/E,True,258688.87163789256,467339.06620434165
108,467341.0018562644,258680.11253164953,467340.6346818331,258680.19109366793,14,1,11/20/2021 11:14,S/E,N/W,False,258680.5785871603,467338.82365780906
109,467339.2571830656,258676.98532525203,467338.9647096446,258677.04797404248,12,1,11/20/2021 11:15,S/E,N/W,False,258677.44507260926,467337.1108705609
110,467335.5430746707,258671.86211744102,467336.142067763,258671.7353565799,12,1,11/20/2021 11:18,S/E,S/E,True,258672.31656581323,467333.3956339435
111,467331.6834185342,258666.80644308042,467332.95009437564,258666.4935167184,10,1,11/20/2021 11:20,S/E,S/E,True,258667.32508624872,467329.5840339782
112,467329.5831405436,258663.27471499628,467330.75589962135,258662.984959469,10,1,11/20/2021 11:20,S/E,S/E,True,258663.79341023634,467327.48376885237
113,467324.8254420126,258655.5105258209,467325.91347129527,258655.24180356401,10,1,11/20/2021 11:22,S/E,S/E,True,258656.02904113272,467322.7260258744
